FID,gid,UF,nome,Censo,Populacao_Masculina,Populacao_Feminina
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-408e,4353,SÃO PAULO,Uchoa,2010,4707,4764
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-408d,4971,SANTA CATARINA,Sul Brasil,2010,1437,1329
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-4083,3084,MINAS GERAIS,São João do Pacuí,2010,2092,1968
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-407c,1638,MARANHÃO,Itapecuru Mirim,2010,31025,31085
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-4079,2499,PARAÍBA,Guarabira,2010,26693,28633
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-406d,3295,MINAS GERAIS,Cristais,2010,5765,5521
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-406c,4992,SANTA CATARINA,Vargem,2010,1446,1362
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-4061,5559,AMAZONAS,Amaturá,2010,4902,4565
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-4057,5221,SANTA CATARINA,Braço do Trombudo,2010,1765,1692
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-404a,1311,GOIÁS,São João d'Aliança,2010,5274,4983
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-402e,3672,MINAS GERAIS,Laranjal,2010,3254,3211
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-402b,4873,SÃO PAULO,Tanabi,2010,12042,12013
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-4023,460,RIO GRANDE DO SUL,Braga,2010,1866,1836
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-4018,1397,SERGIPE,Itabi,2010,2478,2494
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-400e,223,BAHIA,Ubaíra,2010,10035,9715
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-400c,5261,PIAUÍ,Rio Grande do Piauí,2010,3113,3160
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3ffe,229,BAHIA,Urandi,2010,8331,8135
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3ffc,1836,RIO GRANDE DO NORTE,Serrinha dos Pintos,2010,2293,2247
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3ff3,1577,CEARÁ,Graça,2010,7439,7610
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3ff2,1996,RIO DE JANEIRO,Mangaratiba,2010,17962,18494
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3fdc,865,TOCANTINS,Mateiros,2010,1187,1036
